"ID";"BTS"
"1";"AXFW"
"1";"AFR"
"1";"AFW"
"1";"ATP"
"1";"AJ"
"1";"ASY"
"1";"ASW"
"1";"AOS"
"1";"AR"
"1";"AON"
"1";"ABM N"
"1";"ABM S"
"1";"ANF"
"1";"AN  G"
"1";"AN"
"1";"ABRS"
"1";"AWST"
"1";"ADH"
"1";"AHOT"
"1";"AEL N"
"1";"AEL"
"1";"ATM"
"1";"APD"
"1";"AP"
"1";"AQE"
"1";"AE  N"
"1";"AE  O"
"1";"AE  F"
"1";"ALOF"
"1";"ABAG"
"1";"ABGL"
"1";"AHOR"
"1";"AHROO"
"1";"AOHA"
"1";"AVL"
"1";"AWLBA"
"1";"AWLBS"
"1";"AHAR"
"1";"AQM G"
"1";"AMD"
"1";"AM  O"
"1";"AM  N"
"1";"AM  W"
"1";"AM  S"
"101";"EHRBN"
"101";"ERDB"
"101";"EFMK"
"101";"EBCK"
"101";"EMES"
"101";"EDRS"
"101";"ERIK"
"101";"EHIT"
"101";"ELEC"
"101";"EMSTG"
"101";"EMSTP"
"101";"ENHF"
"101";"ESPR"
"101";"EGRV"
"101";"ERFE"
"101";"EEDA"
"101";"EEDT"
"101";"YEHEM"
"101";"HMSU"
"101";"HR"
"101";"HQR"
"101";"HSAL"
"101";"HEM"
"101";"HLED"
"101";"HHKF"
"101";"HFAS"
"101";"HLIG"
"101";"HLIS"
"101";"HHOHA"
"101";"HGEE"
"101";"HMEP"
"101";"HRWA"
"101";"HHAR"
"101";"HLAT"
"101";"HDOP"
"101";"HLE"
"101";"HASD"
"101";"HPAP"
"101";"HIHV"
"101";"HLEEA"
"101";"HLEEP"
"101";"HLEE"
"101";"HNM"
"101";"HODU"
"101";"HER"
"101";"EHRBR"
"103";"HOR O"
"103";"HO  U"
"103";"HOHT"
"103";"HOE"
"103";"HQOE"
"103";"HLOT"
"103";"HVEP"
"103";"HLGG"
"103";"HI"
"103";"HESH"
"103";"HHTL"
"103";"HR"
"103";"HQR"
"103";"HSAL"
"103";"HSTT"
"103";"HBTH"
"103";"HXB"
"105";"HSR"
"105";"HSR W"
"105";"HDED"
"105";"HGUE"
"105";"HWUN"
"105";"HHAS"
"105";"HRER"
"105";"HLH"
"105";"HSHG"
"105";"HKHN"
"105";"HBKB"
"105";"HQM"
"105";"HM  G"
"105";"HM"
"105";"HPTH"
"105";"HOYGA"
"105";"HOYG"
"105";"HOY"
"105";"HGOF"
"105";"HL"
"105";"HL  G"
"105";"HKLG"
"105";"HBDE"
"105";"HBDS"
"105";"HQBU"
"105";"HBUE"
"105";"HMEL"
"105";"HEHD"
"105";"HWTH"
"105";"HWIS"
"105";"HLRI"
"105";"HOR O"
"105";"HVBK"
"107";"HOR O"
"107";"HOR S"
"107";"HORP"
"107";"HHRN"
"107";"HHSB"
"107";"HNAH"
"107";"HQNA"
"107";"YEHLH"
"107";"ELEN"
"107";"ERIG"
"107";"EKV"
"107";"EBRO"
"107";"EWBV"
"107";"EEMS"
"107";"ESDM"
"107";"EMSTP"
"107";"EMSTG"
"107";"ELEC"
"107";"EHIT"
"107";"ERIK"
"107";"EDRS"
"107";"EMES"
"107";"EBCK"
"107";"EFMK"
"107";"EHM"
"107";"EHRBN"
"107";"EHRBR"
"107";"ERDB"
"109A";"HO  N"
"109A";"HO  S"
"109A";"HO  O"
"109A";"HHRN"
"109A";"HHSB"
"109A";"HNAH"
"109A";"HQNA"
"109A";"YEHLH"
"109A";"ELEN"
"109A";"ERIG"
"109A";"EKV"
"109A";"EBRO"
"109A";"EWBV"
"109A";"EEMS"
"109A";"ESDM"
"109A";"EMSTP"
"109A";"EMSTG"
"109A";"EGST"
"109A";"EMEK"
"109A";"EABT"
"109A";"EBSL"
"109A";"EAPH"
"109A";"EBUD"
"109A";"EDUL"
"109A";"ESYB"
"109A";"ESYH"
"109A";"EHLT"
"109A";"ELPE"
"109A";"EMSI"
"109A";"ERE"
"109A";"ERES"
"109A";"EBAU"
"109A";"ECRA"
"109A";"EWFR"
"109A";"EGZO"
"109A";"EGBK"
"109A";"ENON"
"109A";"EEKP"
"109A";"EBTS"
"109A";"EGED"
"109A";"EKKR"
"109A";"EPRL"
"109A";"EEDZ"
"109A";"EOB O"
"109B";"EMAF"
"109B";"ERTL"
"109B";"ELOT"
"109B";"EDWD"
"109B";"EDBI"
"109B";"EDEF"
"109B";"ELIT"
"109B";"ETIE"
"109B";"KRAW"
"109B";"KDR"
"109B";"KHAR"
"109B";"KDE"
"109B";"KHI"
"109B";"KIMI"
"109B";"KOPL"
"109B";"KWER"
"109B";"KLM"
"109B";"KKANE"
"109B";"KKANO"
"109B";"KKANN"
"111";"AROG"
"111";"HUNT"
"111";"HWEW"
"111";"HHTM"
"111";"HWAL"
"111";"HV"
"111";"HWAB"
"111";"HDVD"
"111";"HETR"
"111";"HROR"
"111";"HNBG"
"111";"HLBU"
"111";"HHAG"
"111";"HHGH"
"111";"HEIV"
"111";"HNRU"
"111";"HPOG"
"111";"HWUN"
"111";"HGUE"
"111";"HDED"
"111";"HSR W"
"111";"HSR"
"113";"HSR"
"113";"HSR W"
"113";"HDED"
"113";"HGUE"
"113";"HWUN"
"113";"HHAS"
"113";"HRER"
"113";"HLH"
"113";"HSHG"
"113";"HKHN"
"113";"HBKB"
"113";"HQM"
"113";"HM  G"
"113";"HM"
"113";"HVBK"
"113";"HOYG"
"113";"HOY"
"113";"HGOF"
"113";"HL"
"113";"HL  G"
"113";"YHELF"
"113";"EHFD"
"113";"EBRA"
"113";"EBILG"
"113";"EBILP"
"113";"EBWEG"
"113";"EBWE"
"113";"EIAV"
"113";"EIAW"
"113";"EGLO"
"113";"ERDW"
"113";"EOEL"
"113";"ENBMP"
"113";"ENBMG"
"113";"EAHLG"
"113";"EAHLH"
"113";"EHE P"
"113";"EHE"
"113";"EHRBN"
"113";"EHRBE"
"113";"EHM"
"113";"EBRAH"
"115A";"HLERW"
"115A";"HMI"
"115A";"HWAM"
"115A";"HWHN"
"115A";"HLI R"
"115A";"HLI"
"115A";"HHBO"
"115A";"HEMA"
"115A";"HEMP"
"115A";"HRBG"
"115A";"HWEZ"
"115A";"HHOL"
"115A";"HBEN"
"115A";"HELV"
"115A";"HSPR"
"115A";"HMDD"
"115A";"HHM"
"115A";"HEMT"
"115A";"HPRT"
"115A";"HQPR"
"115A";"HLUE"
"115A";"HSCI"
"115A";"HSTM"
"115A";"HBHE"
"115A";"YDHHB"
"115A";"HHIG"
"115A";"HLAN"
"115A";"HAAT"
"115A";"HA"
"115B";"HA"
"115B";"HAAK"
"115B";"YDFAB"
"115B";"HBUK"
"115B";"HWBD"
"115B";"HBNB"
"115B";"HWAR"
"115B";"HQWA"
"115B";"FLIB"
"115B";"FLR"
"115B";"FHMM"
"115B";"FHFG"
"115B";"FGSN"
"115B";"FIM"
"115B";"FMHF"
"115B";"FOV"
"115B";"FKRB"
"115B";"FKR"
"117";"EHGGO"
"117";"EEIN"
"117";"EHGS"
"117";"EHOY"
"117";"EWEF"
"117";"ESRTF"
"117";"ESRT"
"117";"EHID"
"117";"EHZW"
"117";"EUN"
"117";"EBEO"
"117";"EAU"
"117";"ESMG"
"117";"EHRBD"
"117";"EHRBW"
"117";"EHRBS"
"119A";"HA"
"119A";"HBNS"
"119A";"EPD"
"119A";"EPD G"
"119A";"ESMD"
"119A";"ESZK"
"119A";"EGK"
"119A";"EERI"
"119A";"EDED"
"119A";"ELPP"
"119A";"ELPPG"
"119A";"EBEH"
"119A";"EBSA"
"119A";"ESOT"
"119A";"EBOR"
"119A";"EWVA"
"119A";"EWVE"
"119A";"ERHY"
"119A";"EGAB"
"119A";"EHRBS"
"119A";"EHRBW"
"11B";"WW"
"11B";"LQGG"
"11B";"LGG"
"11B";"LSNA"
"11B";"LBRN"
"11B";"YBLBO"
"11B";"LOB"
"11B";"LGM"
"11B";"LEST"
"11B";"LBOL"
"11B";"LSS"
"11B";"LS  G"
"121";"FKW"
"121";"FKOA"
"121";"FKOZ"
"121";"FREH"
"121";"FGTH"
"121";"FGX"
"121";"FKRL"
"121";"FRFHW"
"121";"FRFH"
"121";"FMBB"
"121";"FMLS"
"121";"FMFH"
"121";"FBEF"
"121";"FAMO"
"121";"FHEB"
"121";"FROF"
"121";"FLIH"
"121";"FBU"
"121";"FB"
"121";"FB  R"
"123";"FKR"
"123";"FKR S"
"123";"FKW"
"123";"FKOA"
"123";"FKEI"
"123";"FSWR"
"123";"FKOT"
"123";"FWIL"
"123";"FLIR"
"123";"FMBA"
"123";"FKHM"
"123";"FHAH"
"123";"FRIH"
"123";"FLSW"
"123";"FMIR"
"123";"FDIE"
"123";"FFU N"
"123";"FFU"
"123";"FFU B"
"123";"FHAG"
"123";"FLRN"
"123";"FLRS"
"123";"YFNLM"
"123";"NMOT"
"123";"NAG"
"123";"NQMO"
"123";"NDI"
"123";"NBNB"
"123";"NMUB"
"123";"NRB"
"123";"NHW"
"123";"NES"
"123";"NNB"
"123";"NWH"
"125A";"FKR"
"125A";"FKR S"
"125A";"FKW"
"125A";"FKOA"
"125A";"FKOZ"
"125A";"FREH"
"125A";"FGTH"
"125A";"FGRF"
"125A";"FWON"
"125A";"FABL"
"125A";"FGEF"
"125A";"FWAB"
"125A";"FUT"
"125A";"FSL"
"125A";"FBOK"
"125A";"FZM"
"125A";"FSBA"
"125A";"FTS"
"125A";"FWRA"
"125A";"FNSM"
"125A";"FSTA"
"125A";"FKIH"
"125A";"FAZ"
"125A";"FBRG"
"125A";"FCOE"
"125A";"FMBG"
"125A";"FMBS"
"125A";"FNDW"
"125A";"FNL"
"125A";"FFRL"
"125A";"FFN"
"125A";"FLOL"
"125A";"FGOG"
"125A";"FG  A"
"125A";"FG"
"125A";"FGB"
"125B";"FGB"
"125B";"FGL"
"125B";"FLGS"
"125B";"FKGS"
"125B";"FBZ"
"125B";"FOM"
"125B";"FBNA"
"125B";"FFG"
"125B";"FFG G"
"125B";"FBB"
"125B";"FNRW"
"125B";"FOK"
"125B";"FGKA"
"125B";"FDW"
"125B";"FVL"
"125B";"FVLS"
"125B";"FFBK"
"125B";"FFBS"
"125B";"FFES"
"125B";"FFGI"
"125B";"FFW A"
"125B";"FFW"
"125B";"FFGA"
"125B";"FMST"
"125B";"FLS"
"125B";"FNIS"
"125B";"FNISA"
"125B";"FBUS"
"125B";"FLG"
"125B";"FEZ"
"125B";"FDA"
"125B";"FD  G"
"125C";"FFO G"
"125C";"FFO"
"125C";"FFS"
"125C";"FFOR"
"125C";"FSP"
"125C";"FSP S"
"125C";"FZEP"
"125C";"FWF"
"125C";"FMF"
"125C";"FDG"
"125C";"FDOH"
"125C";"FLW"
"125C";"FGE"
"125C";"FSTR"
"125C";"FBBM"
"125C";"FGHM"
"125C";"FGRO"
"125C";"FBL"
"125C";"FBST"
"125C";"FBUP"
"125C";"FLP"
"125C";"YFRML"
"125C";"RQMW"
"125C";"RMW G"
"125C";"RMW"
"125C";"RMKL"
"125C";"RRE"
"125C";"RMR K"
"125C";"RMR E"
"127A";"FFO G"
"127A";"FFO"
"127A";"FFS"
"127A";"FFS A"
"127A";"FLS"
"127A";"FNIS"
"127A";"FNISA"
"127A";"FBUS"
"127A";"FLG"
"127A";"FEZ"
"127A";"FDA"
"127A";"FD  G"
"127C";"FFU"
"127C";"FFU B"
"127C";"FNF N"
"127C";"FNF"
"127C";"FNFS"
"127C";"FFD"
"127C";"FSUEZ"
"127C";"FSUE"
"127C";"FSA"
"127C";"FBSS"
"127C";"FWAE"
"127C";"FWIR"
"127C";"FHAI"
"127C";"FGEL"
"127C";"FHME"
"127C";"FNMI"
"127C";"FSLB"
"127C";"FROD"
"127C";"FWFG"
"127C";"FH  N"
"127C";"FHW"
"127C";"FHWB"
"127C";"FHD"
"127C";"FBMR"
"127C";"FFMK"
"127C";"FFO V"
"127C";"FFO U"
"127C";"FFO G"
"127D";"FFU"
"127D";"FFU B"
"127D";"FNF N"
"127D";"FNF"
"127D";"FNFS"
"127D";"FFD"
"127D";"FSUEZ"
"127D";"FSUE"
"127D";"FSA"
"127D";"FBSS"
"127D";"FWAE"
"127D";"FWIR"
"127D";"FHAI"
"127D";"FGEL"
"127D";"FHME"
"127D";"FNMI"
"127D";"FSLB"
"127D";"FROD"
"127D";"FWFG"
"127D";"FRW"
"127D";"FGK"
"127D";"FQKL"
"127D";"FKLM"
"127D";"FDET"
"127D";"FRS"
"127D";"FKO"
"127D";"FSTE"
"127D";"FMAA"
"127D";"FSTK"
"127D";"FQBA"
"127D";"FBA"
"127D";"FHER"
"127D";"FAT"
"127D";"FDI"
"127D";"FMES"
"127D";"FDK"
"127D";"FFU W"
"127E";"FD  G"
"127E";"FD"
"127E";"FDS"
"127E";"FDE N"
"127E";"FDE"
"127E";"FBI N"
"127E";"FBI"
"127E";"FHAE"
"127E";"FZW"
"127E";"FBAU"
"127E";"FBH"
"127E";"FHP N"
"127E";"FHP"
"127E";"YFRLH"
"127E";"RQLC"
"127E";"RLCH"
"127E";"RHCH"
"127E";"RWE"
"127E";"RLUE"
"127E";"RGCH"
"127E";"RLD"
"127E";"RMF"
"129";"NBA"
"129";"NHN"
"129";"NOH"
"129";"NSTAA"
"129";"NSTAF"
"129";"NEE"
"129";"NZK"
"129";"NZ"
"129";"NHT"
"129";"NGAE"
"129";"NSST"
"129";"NSMT"
"129";"NS"
"129";"NBR"
"129";"NWA"
"129";"NMHW"
"129";"NARN"
"129";"NT"
"129";"NEM"
"129";"NWFD"
"129";"NGM"
"129A";"FB"
"129A";"FLAE"
"129A";"FBLA"
"129A";"FME"
"129A";"FFL"
"129A";"FBHF"
"129A";"FOBN"
"129A";"FNK"
"129A";"FBUH"
"129A";"FHUE"
"129A";"FMR"
"129A";"FGHF"
"129A";"FFU N"
"129A";"FFU"
"129A";"FFU G"
"131A";"NWH"
"131A";"NWH F"
"131A";"NWZ"
"131A";"NVE"
"131A";"NTHM"
"131A";"NREZ"
"131A";"NHIS"
"131A";"NKA"
"131A";"NWFH"
"131A";"NGM"
"131B";"FFU"
"131B";"FFU G"
"131B";"FFU W"
"131B";"FFU B"
"131B";"FNF N"
"131B";"FNF"
"131B";"FNFS"
"131B";"FFD"
"131B";"FEL"
"131B";"FSTZ"
"131B";"YFNJ"
"131B";"NJS"
"131B";"NQJS"
"131B";"NOBS"
"131B";"NMSN"
"131B";"NBN"
"131B";"NSB"
"131B";"NRCK"
"131B";"NZG"
"133A";"EHRBS"
"133A";"EHRBW"
"133A";"EHRI"
"133A";"EPK"
"133A";"EBKM"
"133A";"EOD"
"133A";"EHOR"
"133A";"ELUS"
"133A";"EDAT"
"133A";"ERHO"
"133A";"EBLT"
"133A";"EWSH"
"133A";"EGBN"
"133A";"EGBW"
"133A";"EBTB"
"133A";"EBTHG"
"133A";"EBTHP"
"133A";"EOS T"
"133A";"EOS U"
"133A";"EOS E"
"133A";"EWAZ"
"133A";"EOBRO"
"133A";"EOBRM"
"133B";"EOBRM"
"133B";"EOBRW"
"133B";"EOBRS"
"133B";"EDMO"
"133B";"EDME"
"133B";"EDBG"
"133B";"KMEE"
"133B";"KMO"
"133B";"KMO G"
"133B";"KTR"
"133B";"KMUH"
"133B";"KKRU"
"133B";"KKRL"
"133B";"KBMW"
"133B";"KLOC"
"133B";"KMBO"
"133B";"KWEB"
"133B";"KN  O"
"133B";"KNOKA"
"133B";"KNSD"
"133B";"KNO"
"133B";"KNAL"
"133B";"KNIV"
"133B";"KDO"
"133B";"KDBWN"
"133B";"KDBW"
"133B";"KKWO"
"133B";"KKL"
"133B";"KKN F"
"133B";"KKN E"
"133B";"KKNA"
"133B";"KKW F"
"133B";"KKRX"
"137";"EHGGB"
"137";"EHGGW"
"137";"EHG"
"137";"EREH"
"137";"EHGP"
"137";"EENP"
"137";"KSWE"
"137";"KWO"
"137";"KWBA"
"137";"KW"
"137";"KWV"
"137";"KLID"
"137";"KGUI"
"137";"KHAN"
"137";"KSO"
"137";"KLEL"
"137";"KOPL"
"137";"KWER"
"137";"KLM"
"137";"KKANE"
"137";"KKANO"
"137";"KKANN"
"139A";"EXEM"
"139A";"EEM"
"139A";"EPRA"
"139A";"EMIL"
"139A";"EEMP"
"139A";"EHAD"
"139A";"EMHO"
"139A";"EWFK"
"139A";"EWES"
"139A";"EFFD"
"139A";"EVDU"
"139A";"EVD"
"139A";"EDIN"
"139A";"EOHT"
"139A";"EOSD"
"139A";"EOB N"
"139B";"EOB N"
"139B";"EOB O"
"139B";"EEDZ"
"139B";"EEDL"
"139B";"EEBE"
"139B";"EEAL"
"139B";"EEKB"
"139B";"EG"
"139B";"EWAN"
"139B";"EWANF"
"139B";"EHEO"
"139B";"EBGZ"
"139B";"EBRI"
"139B";"YEEBP"
"139B";"EBNO"
"139B";"EPVP"
"139B";"EBLAI"
"139B";"EBLAG"
"139B";"EBLAS"
"139B";"EBLAZ"
"139B";"ESTR"
"139B";"EWIT"
"139B";"EWIH"
"139B";"EWGO"
"139B";"EHGVS"
"139B";"EHGVF"
"139B";"EHGV"
"143";"EHGV"
"143";"ERWH"
"143";"EHGS"
"143";"EHGK"
"143";"EHGH"
"143";"EBST"
"143";"EHOG"
"143";"ELE"
"143";"ENCH"
"143";"EALN"
"143";"EMKE"
"143";"EWHL"
"143";"EPLT"
"143";"EFP"
"143";"EGVB"
"143";"EMEG"
"143";"EA"
"143";"EKHU"
"143";"EWSE"
"143";"ELTF"
"143";"EEHS"
"143";"EKT"
"143";"EKT G"
"143";"EHTG"
"143";"ENHA"
"143";"ESW"
"143";"ESIG"
"143B";"ESIG"
"143B";"ESIS"
"143B";"ENDI"
"143B";"ERUD"
"143B";"EQRU"
"143B";"FDBT"
"143B";"FRB"
"143B";"FHG"
"143B";"YDFHS"
"143B";"FSN"
"143B";"FDIL"
"143B";"FDILS"
"143B";"FNDS"
"143B";"FBUN"
"143B";"FHRB"
"143B";"FSI"
"143B";"FEDI"
"143B";"FKFT"
"143B";"FEHR"
"143B";"FWDF"
"143B";"FAL"
"143B";"FWR"
"143B";"FWR G"
"143B";"FDTH"
"143B";"FGB"
"145B";"KAW P"
"145B";"KAW G"
"145B";"KRIC"
"145B";"KKOS"
"145B";"KHEZ"
"145B";"KNIS"
"145B";"KUBP"
"145B";"KGEK"
"145B";"KLD"
"145B";"KBRC"
"145B";"KBA"
"145B";"KBAG"
"145B";"KERZ"
"145B";"KHER"
"145B";"KHERN"
"145B";"KWIC"
"145B";"KRY G"
"145B";"KRY P"
"145B";"KM"
"145B";"KVH"
"145B";"KV  G"
"145B";"KV"
"145B";"KANR"
"145B";"KFOS"
"145B";"KKR"
"145B";"KKRO"
"145B";"KKRL"
"145B";"KKRX"
"145B";"KKRU"
"145B";"KHB"
"145B";"KMUH"
"145B";"KRH"
"145B";"KRHO"
"145B";"EDHP"
"145B";"EDHZ"
"145B";"EDHDO"
"145B";"ELOT"
"145B";"ESI"
"145B";"ERTL"
"145B";"EOBRS"
"145B";"EOBRW"
"145B";"EOBRM"
"147";"XNVL"
"147";"XNVLO"
"147";"KXKK"
"147";"KKAK"
"147";"KBRY"
"147";"KBOI"
"147";"KDUL"
"147";"KV"
"147";"KV  G"
"147";"KVH"
"147";"KM"
"147";"KRY P"
"147";"KRYO"
"147";"KHOK"
"147";"KJUC"
"147";"KGRB"
"147";"KERW"
"147";"KROM"
"147";"KSOM"
"147";"KPUL"
"147";"KKERW"
"147";"KKERG"
"147";"KKERP"
"147";"KKW F"
"149";"KAW P"
"149";"KASZ"
"149";"KA"
"149";"KAREP"
"149";"KAREG"
"149";"KEIL"
"149";"KST P"
"149";"KST G"
"149";"KE"
"149";"KLAW"
"149";"KHUB"
"149";"KDN P"
"149";"KDN G"
"149";"KDOS"
"149";"KSID"
"149";"KHR"
"149";"KLOV"
"149";"KKERG"
"149";"KKERP"
"149";"KKW F"
"15";"WRS"
"15";"WRSS"
"15";"WRKD"
"15";"WRK"
"15";"WWBO"
"15";"WWBW"
"15";"WDF N"
"15";"WDF"
"15";"WKV"
"15";"WST"
"15";"WKRP"
"15";"WLA"
"15";"WSBN"
"15";"WSBA"
"15";"WPZ"
"15";"WPZA"
"15";"WLDO"
"15";"WLG"
"15";"WVR"
"15";"WGOH"
"15";"WWR"
"15";"WKGW"
"15";"WKG"
"15";"WNT"
"15";"WDRE"
"15";"WQF"
"15";"WF"
"15";"WDWE"
"15";"WSEI"
"15";"WGRA"
"15";"WLO"
"15";"WGRG"
"15";"WNAS"
"15";"BSAH"
"15";"BOR"
"15";"BBOD"
"15";"BBI N"
"15";"BBI"
"15";"WRD"
"151";"KG  H"
"151";"KGS"
"151";"KPR"
"151";"KT  V"
"151";"KT  N"
"151";"KT"
"151";"KSIB"
"151";"KHEN"
"151";"KHES"
"151";"KBLB"
"151";"KMES"
"151";"KEIT"
"151";"KHEC"
"151";"KDAT"
"151";"KSLA"
"151";"KROS"
"151";"KAU"
"151";"KQAU"
"151";"EEZB"
"151";"EEZK"
"151";"EKAU"
"151";"EWIN"
"151";"ENDV"
"151";"ESCF"
"151";"EBZ"
"151";"EKIR"
"151";"EFBU"
"151";"EBRB"
"151";"EMUD"
"151";"EQND"
"151";"ENDN"
"151";"ENDO"
"151";"EEFD"
"151";"ESIE"
"151";"ESIG"
"151";"KG  C"
"153";"KG  H"
"153";"KGS"
"153";"KPR"
"153";"KT  V"
"153";"KT"
"153";"KFWH"
"153";"KMD"
"153";"KBB"
"153";"KBO"
"153";"KND"
"153";"KKOW"
"153";"KRHD"
"153";"KHBD"
"153";"KQHB"
"153";"YDFHU"
"153";"KUN"
"153";"KERP"
"153";"KLI"
"153";"KLEU"
"153";"KHGB"
"153";"KRBR"
"153";"KLET"
"153";"KNE"
"153";"KNE G"
"153";"KENR"
"153";"KBEN"
"153";"KVA"
"153";"KKOE"
"153";"KPFD"
"153";"YFFNL"
"153";"KNL N"
"153";"KNL"
"153";"KOL"
"153";"KOL G"
"153";"KBRB"
"153";"KOSS"
"153";"FFI"
"153";"FKMP"
"153";"FKES"
"153";"FSGH"
"153";"FLY"
"153";"FKAU"
"153";"FQLO"
"153";"FLON"
"153";"FLOR"
"153";"FLOU"
"153";"FAH"
"153";"FRDH"
"153";"FGSM"
"153";"FOE"
"153";"FHAT"
"153";"FERB"
"153";"FELT"
"153";"FELTO"
"153";"FNWF"
"153";"FWS"
"153";"FWB"
"153";"FWB A"
"153";"FWO G"
"153";"FWO B"
"153";"FMK"
"153";"FKOS"
"153";"FKOO"
"153";"FMB P"
"153";"FMB W"
"153";"FMB M"
"153";"KG  C"
"155B";"FMB O"
"155B";"FMB A"
"155B";"FNU"
"155B";"FGER"
"155B";"FDG"
"155B";"FDOH"
"155B";"FLW"
"155B";"FGE"
"155B";"FSTR"
"155B";"FBBM"
"155B";"FGHM"
"155B";"FGRO"
"155B";"FBL"
"155B";"FBST"
"155B";"FBUP"
"155B";"FLP"
"155B";"YFRML"
"155B";"RQMW"
"155B";"RMW G"
"155B";"RMW"
"155B";"RMKL"
"155B";"RRE"
"155B";"RMR K"
"155B";"RMR E"
"157";"KKOLM"
"157";"KKOL"
"157";"KKSM"
"157";"KKO"
"157";"KKOB"
"157";"KRHE"
"157";"KSPA"
"157";"KBOP"
"157";"KSAL"
"157";"KHIR"
"157";"FWER"
"157";"FSGO"
"157";"FURBN"
"157";"FURBS"
"157";"FOBW"
"157";"FBCH"
"157";"FNDH"
"157";"FTRE"
"157";"FBGKV"
"157";"FBGK"
"157";"FBGN"
"157";"FBGG"
"157";"FGAL"
"157";"FIL"
"157";"FHEI"
"157";"FUR"
"157";"FBUD"
"157";"FMM"
"157A";"KKE A"
"157A";"KKE K"
"157A";"KKAS"
"157A";"KKASS"
"157A";"KBR G"
"157A";"KBR P"
"157A";"KSEC"
"157A";"KROI"
"157A";"KB  G"
"157A";"KB"
"157A";"KBBN"
"157A";"KBBG"
"157A";"KBM"
"157A";"KNEW"
"157A";"KQNE"
"157A";"YDFNR"
